date,visitor,home,visitor_points,home_points
2023-12-20,Minnesota Timberwolves,Philadelphia 76ers, 113,127 
2023-12-20,New York Knicks,Brooklyn Nets, 121,102 
2023-12-20,Denver Nuggets,Toronto Raptors, 113,104 
2023-12-20,Los Angeles Lakers,Chicago Bulls, 108,124 
2023-12-20,Atlanta Hawks,Houston Rockets, 134,127 
2023-12-20,LA Clippers,Dallas Mavericks, 120,111 
2023-12-20,Boston Celtics,Sacramento Kings, 144,119 
2023-12-21,Utah Jazz,Detroit Pistons, 119,111 
2023-12-21,New Orleans Pelicans,Cleveland Cavaliers, 123,104 
2023-12-21,San Antonio Spurs,Chicago Bulls, 95,114 
2023-12-21,Indiana Pacers,Memphis Grizzlies, 103,116 
2023-12-21,Orlando Magic,Milwaukee Bucks, 114,118 
2023-12-21,LA Clippers,Oklahoma City Thunder, 115,134 
2023-12-21,Los Angeles Lakers,Minnesota Timberwolves, 111,118 
2023-12-21,Washington Wizards,Portland Trail Blazers, 118,117 
2023-12-22,Toronto Raptors,Philadelphia 76ers, 111,121 
2023-12-22,Denver Nuggets,Brooklyn Nets, 122,117 
2023-12-22,Atlanta Hawks,Miami Heat, 113,122 
2023-12-22,Dallas Mavericks,Houston Rockets, 96,122 
2023-12-22,Washington Wizards,Golden State Warriors, 118,129 
2023-12-22,Phoenix Suns,Sacramento Kings, 105,120 
2023-12-23,Milwaukee Bucks,New York Knicks, 130,111 
2023-12-23,Boston Celtics,LA Clippers, 145,108 
2023-12-23,Denver Nuggets,Charlotte Hornets, 102,95 
2023-12-23,Orlando Magic,Indiana Pacers, 117,110 
2023-12-23,Houston Rockets,New Orleans Pelicans, 106,104 
2023-12-23,Memphis Grizzlies,Atlanta Hawks, 125,119 
2023-12-23,Detroit Pistons,Brooklyn Nets, 115,126 
2023-12-23,Utah Jazz,Toronto Raptors, 126,119 
2023-12-23,Cleveland Cavaliers,Chicago Bulls, 109,95 
2023-12-23,Los Angeles Lakers,Oklahoma City Thunder, 129,120 
2023-12-23,San Antonio Spurs,Dallas Mavericks, 119,144 
2023-12-23,Portland Trail Blazers,Golden State Warriors, 106,126 
2023-12-23,Minnesota Timberwolves,Sacramento Kings, 110,98 
2023-12-25,Milwaukee Bucks,New York Knicks, 122,129 
2023-12-25,Golden State Warriors,Denver Nuggets, 114,120 
2023-12-25,Boston Celtics,Los Angeles Lakers, 126,115 
