home_team,visitor_team,visitor_points,home_points,visitor_fgm,home_fgm,visitor_ORtg,home_ORtg,visitor_DRtg,home_DRtg,total_points
Denver Nuggets,New York Knicks,118.0,130.0,45.0,48.0,118.52149457613498,128.00315084679008,130.57452792286057,116.18747538400945,248.0
Golden State Warriors,Minnesota Timberwolves,113.0,126.0,46.0,48.0,106.68429003021147,126.50602409638554,118.95770392749245,113.45381526104418,239.0
Charlotte Hornets,Atlanta Hawks,110.0,121.0,37.0,40.0,105.76923076923077,118.53448275862068,116.34615384615385,107.75862068965519,231.0
Cleveland Cavaliers,Indiana Pacers,108.0,115.0,43.0,46.0,104.00616332819723,115.32290413156838,110.74730354391372,108.30324909747293,223.0
Toronto Raptors,Utah Jazz,97.0,93.0,36.0,37.0,97.74284562676341,95.40418547394337,93.71221281741235,99.50759130077964,190.0
Chicago Bulls,Los Angeles Lakers,108.0,103.0,41.0,35.0,105.5512118842846,102.4264120922832,100.66458170445662,107.39856801909306,211.0
New Orleans Pelicans,Houston Rockets,113.0,115.0,36.0,44.0,109.284332688588,114.72466081404629,111.21856866537716,112.7294493216281,228.0
Milwaukee Bucks,Brooklyn Nets,91.0,116.0,33.0,43.0,90.27777777777779,118.60940695296524,115.07936507936509,93.04703476482618,207.0
Memphis Grizzlies,LA Clippers,109.0,100.0,39.0,39.0,109.26222935044106,100.080064051241,100.24057738572574,109.08726981585268,209.0
Dallas Mavericks,Portland Trail Blazers,107.0,93.0,39.0,35.0,114.90549828178693,99.48652118100128,99.87113402061856,114.46298673513051,200.0
San Antonio Spurs,Philadelphia 76ers,97.0,78.0,38.0,30.0,115.5862726406101,89.73768982972848,92.94566253574833,111.59687068568797,175.0
Phoenix Suns,New York Knicks,107.0,85.0,41.0,33.0,106.27731426301152,83.56272119543846,84.4259038537942,105.1907196224931,192.0
Detroit Pistons,Oklahoma City Thunder,121.0,108.0,45.0,39.0,122.07425343018564,110.70110701107009,108.9588377723971,124.02624026240264,229.0
Indiana Pacers,Orlando Magic,112.0,114.0,42.0,47.0,121.63336229365768,119.5469798657718,123.80538662033015,117.4496644295302,226.0
Miami Heat,Charlotte Hornets,91.0,95.0,29.0,38.0,96.39830508474576,101.14991482112437,100.63559322033898,96.89097103918229,186.0
Atlanta Hawks,Washington Wizards,129.0,104.0,49.0,38.0,134.1514143094842,105.86319218241043,108.153078202995,131.31107491856676,233.0
Golden State Warriors,Boston Celtics,105.0,109.0,37.0,38.0,106.53409090909092,113.023641642472,110.59253246753246,108.87598506843634,214.0
Denver Nuggets,Dallas Mavericks,89.0,91.0,34.0,34.0,95.32990574121679,98.27213822894169,97.47215081405312,96.1123110151188,180.0
Minnesota Timberwolves,Brooklyn Nets,97.0,111.0,38.0,42.0,104.75161987041037,115.09746992948983,119.87041036717063,100.58067192036499,208.0
